OverallQual,GarageCars,TotalBsmtSF,FullBath,TotRmsAbvGrd,YearBuilt,YearRemodAdd,SalePrice
6.0,2.0,1243.0,2.0,6.0,1977.0,1977.0,168945.32
6.0,2.0,1958.0,3.0,9.0,1976.0,1976.0,206628.0
7.0,3.0,1336.0,2.0,6.0,2008.0,2008.0,210959.39
7.0,2.0,1214.0,2.0,6.0,2009.0,2010.0,213972.6
5.0,2.0,384.0,2.0,7.0,2006.0,2007.0,163230.12
5.0,2.0,1068.0,1.0,7.0,1965.0,1977.0,158013.0
5.0,2.0,1430.0,2.0,7.0,2004.0,2005.0,196795.2
5.0,2.0,1344.0,2.0,7.0,1999.0,1999.0,193496.6
5.0,1.0,945.0,1.0,5.0,1973.0,1973.0,126471.61666666668
4.0,0.0,546.0,1.0,5.0,1970.0,1970.0,83202.75
4.0,0.0,546.0,1.0,5.0,1970.0,1970.0,83202.75
4.0,1.0,546.0,1.0,5.0,1972.0,1972.0,85194.25000000001
5.0,1.0,864.0,1.0,5.0,1971.0,2004.0,131046.16666666669
5.0,2.0,833.0,1.0,5.0,1984.0,1984.0,138973.28
5.0,2.0,1216.0,4.0,10.0,1985.0,1986.0,172047.5
5.0,2.0,624.0,1.0,6.0,1991.0,1991.0,137099.22666666665
5.0,1.0,864.0,2.0,8.0,1969.0,1969.0,142368.5
8.0,2.0,1679.0,2.0,6.0,1994.0,1995.0,297086.02
6.0,2.0,1152.0,2.0,7.0,1993.0,1994.0,190536.9
6.0,1.0,882.0,1.0,5.0,1956.0,1956.0,124874.98666666666
6.0,2.0,1434.0,2.0,7.0,1974.0,1974.0,182741.0
6.0,2.0,945.0,2.0,7.0,1997.0,1997.0,204269.0
8.0,3.0,1008.0,2.0,9.0,2003.0,2003.0,260091.65
7.0,2.0,384.0,2.0,7.0,1996.0,1997.0,169073.95
8.0,2.0,2208.0,2.0,8.0,2004.0,2005.0,296442.35
8.0,2.0,1418.0,2.0,5.0,1998.0,1998.0,281916.06
8.0,2.0,1587.0,2.0,6.0,1995.0,1996.0,279642.0
7.0,2.0,384.0,2.0,7.0,1998.0,1998.0,169806.6
6.0,2.0,952.0,2.0,7.0,1998.0,1999.0,180726.0
6.0,2.0,707.0,2.0,7.0,1994.0,1995.0,184961.4
6.0,2.0,1181.0,2.0,6.0,1993.0,1993.0,170238.0
5.0,2.0,1122.0,2.0,6.0,1977.0,1977.0,158435.2333333333
7.0,2.0,832.0,2.0,8.0,1978.0,1978.0,180770.0
6.0,2.0,1427.0,2.0,7.0,1978.0,1986.0,189068.5
7.0,2.0,1043.0,2.0,9.0,1980.0,1991.0,246221.0
6.0,2.0,1140.0,2.0,7.0,1978.0,1998.0,185166.5
7.0,2.0,926.0,2.0,7.0,2003.0,2003.0,216459.28
8.0,2.0,1058.0,2.0,7.0,2000.0,2001.0,249085.3
8.0,2.0,972.0,2.0,7.0,2002.0,2002.0,226829.8
5.0,2.0,1621.0,2.0,7.0,1975.0,1975.0,183650.0
6.0,2.0,1116.0,2.0,6.0,1974.0,1974.0,164518.33333333334
7.0,2.0,1176.0,2.0,5.0,1975.0,1975.0,167709.0
5.0,2.0,1180.0,1.0,6.0,1970.0,1970.0,156520.18
5.0,1.0,1043.0,1.0,6.0,1971.0,1971.0,130213.25
4.0,2.0,864.0,1.0,5.0,1970.0,1970.0,122040.33333333331
4.0,2.0,864.0,1.0,5.0,1971.0,2006.0,128459.0
6.0,1.0,483.0,1.0,5.0,1973.0,1973.0,97608.0
6.0,1.0,483.0,1.0,5.0,1972.0,1972.0,93701.0
6.0,2.0,804.0,2.0,7.0,1976.0,1976.0,163212.5
7.0,2.0,1057.0,2.0,4.0,1975.0,1975.0,170775.6666666667
6.0,2.0,855.0,2.0,6.0,1977.0,1977.0,149571.16666666666
6.0,2.0,804.0,2.0,7.0,1978.0,1978.0,155934.25
6.0,2.0,855.0,2.0,6.0,1978.0,1978.0,151029.83333333334
7.0,1.0,836.0,1.0,5.0,1976.0,1976.0,159385.5
5.0,2.0,864.0,1.0,5.0,1966.0,2004.0,133516.0
9.0,3.0,1776.0,3.0,10.0,2007.0,2007.0,442200.26
9.0,3.0,1365.0,2.0,8.0,2009.0,2009.0,350450.02
9.0,3.0,2020.0,2.0,7.0,2008.0,2008.0,402555.29
10.0,3.0,2630.0,2.0,8.0,2007.0,2007.0,433219.15
9.0,3.0,1736.0,2.0,7.0,2008.0,2008.0,339811.67
8.0,3.0,1782.0,2.0,7.0,2004.0,2005.0,244556.15
8.0,3.0,1508.0,2.0,10.0,2007.0,2007.0,294768.03
9.0,3.0,1739.0,2.0,8.0,2008.0,2008.0,354470.1
9.0,3.0,1504.0,2.0,6.0,2006.0,2006.0,299064.86
9.0,3.0,1774.0,2.0,7.0,2008.0,2008.0,330360.28
7.0,2.0,1760.0,2.0,8.0,2003.0,2004.0,239085.29
9.0,3.0,2452.0,2.0,10.0,2003.0,2003.0,484731.16
8.0,3.0,1082.0,3.0,10.0,2003.0,2004.0,335989.17
8.0,3.0,1598.0,2.0,6.0,2006.0,2006.0,247825.08
6.0,2.0,1358.0,2.0,6.0,2005.0,2005.0,192826.04
6.0,2.0,1306.0,2.0,5.0,2005.0,2005.0,190987.88
7.0,2.0,1350.0,2.0,6.0,2007.0,2008.0,202999.99
10.0,3.0,2492.0,2.0,8.0,2004.0,2005.0,402819.65
8.0,3.0,2200.0,2.0,8.0,2003.0,2004.0,334914.18
9.0,2.0,1884.0,2.0,6.0,2008.0,2009.0,337308.23
9.0,2.0,1451.0,2.0,6.0,2008.0,2008.0,301654.74
8.0,3.0,1712.0,2.0,8.0,2002.0,2003.0,289759.66
7.0,2.0,1405.0,2.0,6.0,2003.0,2003.0,178079.8
7.0,2.0,728.0,2.0,8.0,2005.0,2005.0,174080.0
6.0,2.0,745.0,2.0,7.0,2005.0,2006.0,169851.07
7.0,2.0,1220.0,2.0,5.0,2005.0,2006.0,181521.60083333336
7.0,2.0,384.0,2.0,6.0,2004.0,2005.0,163333.15333333335
7.0,2.0,868.0,2.0,7.0,2004.0,2005.0,208417.25
7.0,2.0,846.0,2.0,7.0,2004.0,2004.0,197336.0
7.0,2.0,782.0,2.0,8.0,2003.0,2003.0,183357.7
7.0,2.0,698.0,2.0,7.0,2003.0,2003.0,173859.82333333336
8.0,3.0,870.0,2.0,8.0,2002.0,2002.0,245522.46
7.0,2.0,384.0,2.0,7.0,2004.0,2004.0,170355.98333333337
6.0,2.0,794.0,2.0,7.0,2000.0,2000.0,197507.0
7.0,2.0,384.0,2.0,7.0,1999.0,2000.0,170749.25
7.0,3.0,1177.0,2.0,8.0,1999.0,1999.0,257908.19
7.0,2.0,384.0,2.0,7.0,1999.0,1999.0,170844.25
8.0,3.0,1455.0,2.0,10.0,2000.0,2000.0,310798.04
8.0,3.0,2024.0,2.0,7.0,1994.0,1995.0,366252.0
7.0,2.0,1070.0,2.0,7.0,1995.0,1996.0,234393.3
8.0,2.0,1173.0,2.0,8.0,1993.0,1994.0,243876.91
8.0,3.0,1696.0,2.0,7.0,2008.0,2008.0,276025.75
8.0,3.0,1614.0,2.0,7.0,2008.0,2008.0,276117.64
8.0,3.0,1702.0,2.0,7.0,2007.0,2007.0,303838.85
8.0,2.0,1422.0,2.0,7.0,2006.0,2006.0,297407.52
9.0,3.0,2458.0,2.0,9.0,2005.0,2006.0,437263.02
7.0,2.0,1436.0,2.0,6.0,2008.0,2009.0,214215.44
7.0,2.0,1402.0,2.0,7.0,2008.0,2008.0,209972.78333333333
9.0,3.0,1530.0,2.0,7.0,2007.0,2008.0,310201.06
8.0,2.0,1372.0,2.0,6.0,2006.0,2007.0,230158.545
8.0,3.0,900.0,2.0,8.0,2006.0,2006.0,256482.71
8.0,2.0,1836.0,2.0,8.0,2008.0,2009.0,296898.94
7.0,3.0,1652.0,2.0,8.0,2006.0,2007.0,258709.3
7.0,2.0,1553.0,2.0,6.0,2003.0,2004.0,218673.0
7.0,2.0,812.0,2.0,6.0,2003.0,2003.0,205838.0
7.0,2.0,1218.0,1.0,6.0,2007.0,2007.0,201366.11
7.0,2.0,1141.0,1.0,6.0,2006.0,2006.0,205375.57
6.0,0.0,1158.0,1.0,5.0,2004.0,2004.0,132768.35
7.0,2.0,835.0,2.0,8.0,2004.0,2004.0,201708.0
8.0,3.0,1512.0,2.0,6.0,2004.0,2004.0,268204.92
7.0,2.0,1114.0,1.0,6.0,2004.0,2005.0,208132.67
5.0,0.0,1114.0,1.0,6.0,2004.0,2004.0,112037.5
5.0,2.0,1114.0,2.0,6.0,2003.0,2004.0,166465.8
7.0,3.0,1450.0,2.0,6.0,2008.0,2009.0,221847.28
7.0,2.0,913.0,2.0,8.0,1996.0,1997.0,209500.0
6.0,2.0,816.0,2.0,6.0,1992.0,1992.0,178639.0
6.0,2.0,1332.0,2.0,5.0,1990.0,1991.0,175650.0
7.0,2.0,754.0,2.0,6.0,1994.0,1994.0,193935.0
6.0,2.0,676.0,2.0,6.0,1986.0,1986.0,174430.32
6.0,2.0,0.0,2.0,8.0,1981.0,1981.0,143043.36
5.0,2.0,980.0,1.0,5.0,1962.0,1962.0,132859.32
5.0,2.0,864.0,1.0,5.0,1961.0,1961.0,120358.29333333333
5.0,1.0,864.0,1.0,5.0,1961.0,1961.0,115818.74666666667
5.0,1.0,1024.0,2.0,5.0,1965.0,1965.0,137515.0
5.0,1.0,912.0,1.0,6.0,1963.0,1995.0,136568.84
5.0,1.0,912.0,1.0,6.0,1962.0,1962.0,129156.5
8.0,3.0,2014.0,2.0,6.0,1980.0,1980.0,336839.02
7.0,2.0,975.0,2.0,7.0,1991.0,2008.0,201280.27
7.0,3.0,1376.0,2.0,9.0,2004.0,2005.0,264873.47
6.0,2.0,1726.0,2.0,6.0,2008.0,2008.0,206726.2
6.0,2.0,1145.0,1.0,5.0,2008.0,2008.0,173743.0
6.0,2.0,756.0,2.0,4.0,2000.0,2000.0,173063.8266666667
7.0,2.0,691.0,2.0,6.0,1999.0,1999.0,175433.0
8.0,2.0,1694.0,2.0,5.0,1977.0,2008.0,317864.14
7.0,2.0,1740.0,1.0,7.0,1981.0,1981.0,245648.58
8.0,2.0,392.0,2.0,5.0,1976.0,1976.0,166099.0
7.0,2.0,752.0,2.0,7.0,1974.0,1974.0,196228.0
6.0,2.0,932.0,2.0,8.0,1967.0,1997.0,214601.96666666665
5.0,2.0,1288.0,2.0,6.0,1969.0,1969.0,160724.09
6.0,1.0,1216.0,1.0,5.0,1969.0,1969.0,149177.0
7.0,2.0,908.0,1.0,8.0,1977.0,1992.0,208087.9
5.0,1.0,864.0,1.0,5.0,1967.0,1967.0,114041.83333333334
5.0,2.0,1568.0,1.0,7.0,1967.0,1967.0,167551.5
7.0,2.0,1165.0,2.0,8.0,1974.0,1974.0,198131.8
6.0,2.0,1232.0,2.0,5.0,1971.0,1971.0,184059.0
4.0,2.0,894.0,1.0,5.0,1960.0,1960.0,122262.12333333334
5.0,1.0,864.0,1.0,5.0,1959.0,1959.0,117238.90666666668
4.0,3.0,1040.0,1.0,6.0,1957.0,1957.0,129229.76
5.0,2.0,1048.0,2.0,7.0,1956.0,1956.0,141285.82
5.0,2.0,1313.0,1.0,6.0,1961.0,1995.0,157860.0
5.0,2.0,1292.0,1.0,6.0,1964.0,1964.0,156600.0
5.0,2.0,744.0,2.0,7.0,1965.0,1965.0,150375.92
6.0,2.0,1208.0,1.0,7.0,1961.0,1961.0,170924.0
5.0,1.0,960.0,1.0,5.0,1955.0,1955.0,120478.08
6.0,2.0,1680.0,1.0,5.0,1967.0,1967.0,176340.5
6.0,2.0,1453.0,2.0,6.0,1961.0,1961.0,178540.5
6.0,2.0,1562.0,2.0,5.0,1966.0,2008.0,224552.0
5.0,1.0,1169.0,1.0,6.0,1956.0,1956.0,146826.0
7.0,2.0,1329.0,1.0,5.0,1960.0,1960.0,180847.0
6.0,1.0,988.0,2.0,6.0,1959.0,1998.0,151111.0
5.0,1.0,1202.0,1.0,6.0,1956.0,1956.0,146892.0
5.0,1.0,1382.0,1.0,6.0,1955.0,1955.0,150499.0
4.0,1.0,1200.0,1.0,6.0,1956.0,1956.0,142040.77
5.0,2.0,1866.0,2.0,8.0,1958.0,1958.0,137471.5
6.0,1.0,1062.0,1.0,6.0,1954.0,1954.0,135332.3333333333
5.0,2.0,631.0,1.0,5.0,1951.0,1951.0,115819.0
5.0,1.0,793.0,1.0,4.0,1945.0,1950.0,109420.0
5.0,1.0,1031.0,1.0,5.0,1952.0,2005.0,134280.75
5.0,1.0,0.0,1.0,7.0,1953.0,1953.0,110515.0
7.0,2.0,699.0,1.0,6.0,1948.0,1999.0,162754.0
5.0,1.0,1200.0,1.0,6.0,1950.0,1950.0,147292.0
3.0,1.0,792.0,1.0,4.0,1958.0,1958.0,102857.8
5.0,2.0,676.0,2.0,7.0,1939.0,2006.0,142633.2
4.0,1.0,405.0,1.0,6.0,1900.0,2003.0,80958.75333333333
5.0,1.0,1054.0,1.0,6.0,1925.0,1950.0,119040.25
4.0,2.0,1313.0,2.0,8.0,1915.0,1950.0,132424.0
7.0,2.0,560.0,2.0,5.0,1910.0,2008.0,155220.09
2.0,0.0,416.0,1.0,4.0,1940.0,1950.0,60469.5
5.0,2.0,720.0,1.0,4.0,1920.0,1950.0,123049.0
3.0,1.0,630.0,1.0,4.0,1890.0,1998.0,80194.92
6.0,3.0,1248.0,2.0,12.0,1969.0,1969.0,223241.1
6.0,1.0,1380.0,1.0,6.0,1963.0,1963.0,151005.5
6.0,2.0,1040.0,1.0,6.0,1967.0,1967.0,152927.5
6.0,2.0,951.0,1.0,6.0,1958.0,2007.0,173604.5
6.0,1.0,1105.0,1.0,5.0,1957.0,1957.0,139404.3333333333
6.0,1.0,160.0,1.0,5.0,1958.0,1958.0,98274.0
6.0,2.0,795.0,1.0,5.0,1950.0,1950.0,128463.5
5.0,1.0,1041.0,1.0,6.0,1958.0,1958.0,127198.0
5.0,1.0,732.0,1.0,4.0,1952.0,1952.0,115573.4
5.0,1.0,528.0,1.0,6.0,1959.0,1959.0,108372.00000000001
4.0,1.0,832.0,2.0,6.0,1949.0,1996.0,123997.53333333333
6.0,2.0,864.0,1.0,6.0,1948.0,1994.0,154111.0
6.0,2.0,780.0,1.0,8.0,1964.0,1964.0,159921.0
5.0,2.0,941.0,1.0,4.0,1978.0,1978.0,135254.0
6.0,1.0,1045.0,1.0,6.0,1963.0,1963.0,137317.0
6.0,1.0,901.0,1.0,6.0,1935.0,1998.0,152014.39
6.0,2.0,972.0,2.0,12.0,1910.0,1950.0,204750.1
5.0,2.0,240.0,1.0,6.0,1910.0,2003.0,116638.5
5.0,0.0,504.0,2.0,7.0,1910.0,2002.0,117867.98
5.0,2.0,690.0,1.0,7.0,1939.0,1950.0,125880.71
4.0,0.0,600.0,2.0,8.0,1920.0,1950.0,79707.5
5.0,0.0,801.0,1.0,6.0,1910.0,1950.0,104821.61
5.0,1.0,768.0,1.0,6.0,1950.0,1970.0,120768.42333333334
4.0,2.0,861.0,1.0,5.0,1920.0,1950.0,106471.26
2.0,1.0,0.0,1.0,4.0,1940.0,1950.0,64043.0
5.0,1.0,624.0,1.0,5.0,1923.0,1950.0,93050.0
4.0,2.0,677.0,2.0,7.0,1910.0,1950.0,107385.16
6.0,1.0,917.0,2.0,8.0,1900.0,1950.0,136798.74
6.0,1.0,624.0,1.0,5.0,1917.0,2007.0,118384.25
4.0,0.0,624.0,1.0,5.0,1910.0,1950.0,76755.0
6.0,1.0,972.0,1.0,6.0,1920.0,1950.0,108905.0
6.0,3.0,741.0,1.0,8.0,1910.0,2002.0,156960.79
3.0,0.0,245.0,1.0,5.0,1900.0,1950.0,62416.0
6.0,1.0,1022.0,1.0,6.0,1923.0,1950.0,118734.5
5.0,1.0,297.0,2.0,7.0,1930.0,1982.0,117324.1
5.0,1.0,468.0,1.0,6.0,1924.0,1950.0,90813.5
5.0,1.0,960.0,1.0,5.0,1925.0,1999.0,120366.34
5.0,1.0,952.0,2.0,6.0,1938.0,1950.0,122875.5
5.0,5.0,1072.0,1.0,5.0,1925.0,1950.0,127539.25
6.0,2.0,1048.0,2.0,8.0,1915.0,1950.0,186365.3
7.0,1.0,672.0,2.0,8.0,1915.0,1994.0,159368.85
5.0,0.0,1040.0,2.0,11.0,1922.0,1950.0,126967.25
6.0,1.0,720.0,2.0,8.0,1927.0,1950.0,146550.71
6.0,1.0,483.0,1.0,7.0,1915.0,2002.0,118014.5
7.0,0.0,1020.0,2.0,9.0,1902.0,2000.0,219042.87
6.0,1.0,1204.0,1.0,4.0,1927.0,1950.0,128496.0
4.0,0.0,858.0,1.0,5.0,1923.0,1950.0,96979.0
6.0,1.0,698.0,1.0,7.0,1915.0,1965.0,135482.14
4.0,1.0,560.0,1.0,4.0,1946.0,2001.0,85038.16666666669
5.0,0.0,1200.0,3.0,5.0,1987.0,1988.0,165818.4
5.0,1.0,1152.0,2.0,6.0,1978.0,1978.0,154457.9
5.0,1.0,585.0,2.0,6.0,1934.0,1950.0,111146.18
5.0,1.0,1052.0,1.0,6.0,1967.0,1967.0,137873.5
6.0,2.0,456.0,1.0,5.0,1978.0,1978.0,128778.0
5.0,1.0,552.0,2.0,8.0,1961.0,1961.0,123400.29333333333
6.0,2.0,1138.0,1.0,6.0,1960.0,1960.0,166284.0
